fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
1	0.2	46	0.37844640690856635	0.845	0.8449211230280756
1	0.2	36	0.3597453002591002	0.8375	0.8374834370859271
1	0.2	28	0.37184684449113503	0.8425	0.8424585614640365
1	0.2	22	0.33102417272944307	0.825	0.8249706242656067
1	0.2	17	0.31999285746456385	0.82	0.8200205005125129
1	0.2	13	0.3037852520553285	0.8125	0.8124828120703017
1	0.2	10	0.29000290397205286	0.805	0.8048451211280282
1	0.2	8	0.2311037507374813	0.775	0.7749193729843246
1	0.2	6	0.23982387470986147	0.78	0.7799944998624965
1	0.2	4	0.15148406666771064	0.725	0.7250181254531363
1	0.2	3	0.1588609611747232	0.73	0.7298932473311832
1	0.2	2	0.115735285065918	0.6975	0.6974299357483936
1	0.2	1	0.027625207964736873	0.5975	0.5975274381859547
2	0.2	20000	0.01134470985732295	0.5625	0.5622765569139229
2	0.2	16000	0.017568061498371257	0.5775	0.5772269306732669
2	0.2	12800	0.013206852314298238	0.5675	0.5673266831670791
2	0.2	10240	0.01997982140192812	0.5825	0.5822020550513763
2	0.2	8192	0.0169595764391998	0.575	0.5745143628590714
2	0.2	6553	0.032905733823190446	0.605	0.6046151153778845
2	0.2	5242	0.08509374388490146	0.67	0.6700167504187605
2	0.2	4193	0.046349605727616414	0.625	0.6246906172654316
2	0.2	3354	0.10394349907622136	0.685	0.6846421160529013
2	0.2	2683	0.06383446803026196	0.6475	0.6473786844671117
2	0.2	2146	0.10998439664381206	0.6925	0.6925798144953623
2	0.2	1716	0.1168051498712216	0.6975	0.6972799319983
2	0.2	1372	0.13762860787650036	0.7125	0.7121803045076127
2	0.2	1097	0.19697534990975393	0.755	0.7549188729718243
2	0.2	877	0.236032517157516	0.7775	0.7773819345483637
2	0.2	701	0.2178342382872203	0.7675	0.7674316857921447
2	0.2	560	0.20759744759621607	0.76	0.7597689942248556
2	0.2	448	0.3137835770994734	0.815	0.8147703692592315
2	0.2	358	0.33735760710977375	0.8275	0.82740818520463
2	0.2	286	0.3598760025646661	0.8375	0.8374584364609116
2	0.2	228	0.42908239595898756	0.865	0.8649716242906071
2	0.2	182	0.36577370301151174	0.84	0.8400210005250132
2	0.2	145	0.3393255512455191	0.8275	0.8273331833295833
2	0.2	116	0.3693065418277057	0.84	0.8398209955248881
2	0.2	92	0.4097701698261733	0.8575	0.8574339358483962
2	0.2	73	0.422369888836243	0.8625	0.862509062726568
2	0.2	58	0.429361250023366	0.865	0.8649466236655916
2	0.2	46	0.3254219130793988	0.8225	0.822483062076552
2	0.2	36	0.3254384602844847	0.8225	0.8225080627015676
2	0.2	28	0.31458622823693516	0.8175	0.8174579364484111
2	0.2	22	0.31995963391058896	0.82	0.8199704992624816
2	0.2	17	0.26383211186939537	0.7925	0.7924073101827546
2	0.2	13	0.24238021933513776	0.78	0.7797944948623716
2	0.2	10	0.23322451826156496	0.775	0.7747943698592464
2	0.2	8	0.234658772805721	0.775	0.7747443686092153
2	0.2	6	0.16947928789207595	0.735	0.7346933673341834
2	0.2	4	0.16598029596032507	0.735	0.734918372959324
2	0.2	3	0.10972150371930514	0.6925	0.6924798119952998
2	0.2	2	0.066494150678815	0.65	0.650166254156354
2	0.2	1	0.013174659366199585	0.5675	0.5674516862921574
3	0.2	20000	0.02490459523358705	0.5925	0.5923273081827045
3	0.2	16000	0.03874894874963559	0.615	0.6147903697592441
3	0.2	12800	0.02095122469364376	0.585	0.5848896222405561
3	0.2	10240	0.0275928752389886	0.5975	0.5974524363109078
3	0.2	8192	0.015397185074816043	0.5725	0.5722018050451262
3	0.2	6553	0.0377662125219621	0.6125	0.6121278031950799
3	0.2	5242	0.04442053911655404	0.6225	0.6222030550763769
3	0.2	4193	0.04984150653232574	0.6275	0.627003175079377
3	0.2	3354	0.09906086435556051	0.6825	0.6823045576139403
3	0.2	2683	0.07304190724145755	0.6575	0.6573539338483462
3	0.2	2146	0.13795916715172424	0.715	0.7149178729468237
3	0.2	1716	0.15368686745559884	0.725	0.7247431185779645
3	0.2	1372	0.16090207510349439	0.73	0.7297432435810894
3	0.2	1097	0.1986953101325903	0.755	0.7547938698467462
3	0.2	877	0.22645008054724872	0.77	0.7697192429810745
3	0.2	701	0.19356667644909403	0.7525	0.7523563089077228
3	0.2	560	0.2674724978511791	0.7925	0.7922573064326609
3	0.2	448	0.32285070004028876	0.82	0.8198204955123878
3	0.2	358	0.29148888087509384	0.805	0.804795119877997
3	0.2	286	0.25110001717977903	0.785	0.7848196204905123
3	0.2	228	0.4119146852654555	0.8575	0.8573589339733493
3	0.2	182	0.38395895698793514	0.8475	0.847508687717193
3	0.2	145	0.42235480406245063	0.8625	0.8624840621015525
3	0.2	116	0.4160942449609441	0.86	0.8599464986624666
3	0.2	92	0.4161550274313499	0.86	0.8600465011625291
3	0.2	73	0.3964728662006377	0.8525	0.852508812720318
3	0.2	58	0.3332270258646659	0.825	0.8248456211405286
3	0.2	46	0.4157535879553754	0.86	0.8599964999124977
3	0.2	36	0.3606927528511615	0.8375	0.8375834395859897
3	0.2	28	0.36058014181066816	0.8375	0.8374084352108804
3	0.2	22	0.3366082859351029	0.8275	0.827483187079677
3	0.2	17	0.3367738662722278	0.8275	0.8275331883297081
3	0.2	13	0.2780969871220935	0.8	0.7999699992499814
3	0.2	10	0.2561744136249833	0.7875	0.787307182679567
3	0.2	8	0.2313649615967145	0.775	0.774894372359309
3	0.2	6	0.1967346664180924	0.755	0.7549938748468711
3	0.2	4	0.17703961243673016	0.7425	0.7424810620265506
3	0.2	3	0.10158888114357352	0.685	0.6851171279281981
3	0.2	2	0.06592005318917485	0.65	0.6499662491562289
3	0.2	1	0.01738830231994504	0.5775	0.5774269356733919
4	0.2	20000	0.015250239589717923	0.5725	0.5725518137953448
4	0.2	16000	0.008946134225373013	0.555	0.5545888647216181
4	0.2	12800	0.029064916503179744	0.6	0.5998899972499312
4	0.2	10240	0.039564025162472156	0.615	0.6146153653841347
4	0.2	8192	0.03213744028395958	0.605	0.6048401210030251
4	0.2	6553	0.0757609702582238	0.66	0.6597914947873698
4	0.2	5242	0.059413716034260176	0.6425	0.6425035625890649
4	0.2	4193	0.032050055596447684	0.605	0.6049151228780719
4	0.2	3354	0.08542630152315375	0.67	0.6698417460436511
4	0.2	2683	0.10798611427523948	0.69	0.6897672441811046
4	0.2	2146	0.11892451245327276	0.7	0.6998924973124327
4	0.2	1716	0.11423571415000258	0.695	0.6947423685592139
4	0.2	1372	0.1702261629967468	0.7375	0.7373559338983475
4	0.2	1097	0.2220963715007042	0.77	0.7699442486062151
4	0.2	877	0.21154537276630406	0.7625	0.7622815570389261
4	0.2	701	0.21366769870749208	0.7625	0.7622065551638791
4	0.2	560	0.26356606348669936	0.7925	0.7924323108077701
4	0.2	448	0.3369741544262922	0.8275	0.8274331858296459
4	0.2	358	0.34391653622516555	0.83	0.8298707467686691
4	0.2	286	0.3696071367599126	0.8375	0.8372084302107553
4	0.2	228	0.409469597089026	0.8575	0.8575339383484587
4	0.2	182	0.3563558427568209	0.835	0.8348458711467787
4	0.2	145	0.34026085196834666	0.8275	0.8273081827045677
4	0.2	116	0.47171885574938544	0.88	0.8800720018000451
4	0.2	92	0.4429975774153261	0.87	0.8700467511687792
4	0.2	73	0.4098466981220477	0.8575	0.8575589389734743
4	0.2	58	0.37214036063690137	0.8425	0.8424335608390209
4	0.2	46	0.3856563211689214	0.8475	0.8476086902172555
4	0.2	36	0.3606927528511615	0.8375	0.8375834395859897
4	0.2	28	0.32585088533628676	0.8225	0.8225580639515987
4	0.2	22	0.3366082859351029	0.8275	0.827483187079677
4	0.2	17	0.27857074554296013	0.8	0.8000700017500436
4	0.2	13	0.26824066841922145	0.795	0.7950198754968875
4	0.2	10	0.21363670056209091	0.765	0.7649191229780745
4	0.2	8	0.20976637564684594	0.7625	0.7623815595389883
4	0.2	6	0.13131802263503264	0.71	0.7099427485687142
4	0.2	4	0.11573021478116416	0.6975	0.6975299382484562
4	0.2	3	0.10691488226848359	0.69	0.6899172479311984
4	0.2	2	0.05529250776628608	0.6375	0.6375284382109553
4	0.2	1	0.026187783626729872	0.595	0.5949398734968374
