fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
1	0.2	116	0.5347402534286947	0.9	0.9
1	0.2	92	0.4564729254640204	0.875	0.8724072910119423
1	0.2	73	0.45278713201921694	0.875	0.8698412698412697
1	0.2	58	0.43693977120614746	0.8625	0.8608505315822389
1	0.2	46	0.5310044064107186	0.9	0.9
1	0.2	36	0.3602894700825402	0.8375	0.8395140664961637
1	0.2	28	0.3862363763625455	0.8375	0.8460317460317459
1	0.2	22	0.49234898059182003	0.8875	0.8865914786967418
1	0.2	17	0.5145578999248693	0.8875	0.8889931207004378
1	0.2	13	0.0916143452113681	0.675	0.675
1	0.2	10	0.023457896474894564	0.5875	0.5898805782526713
1	0.2	8	0.08852428419346622	0.675	0.6731615336266499
1	0.2	6	0.022590989798447307	0.575	0.5858585858585859
1	0.2	4	0.04891296550863059	0.6375	0.6302083333333333
1	0.2	3	0.00018389321667197346	0.5	0.4920634920634921
1	0.2	2	0.021880797062334804	0.5875	0.587121212121212
1	0.2	1	0.0070148622329076855	0.45	0.4506599622878693
2	0.2	20000	0.37250310045516644	0.8375	0.8389618511569731
2	0.2	16000	0.3854504314368331	0.8375	0.8471867007672633
2	0.2	12800	0.2497162515141117	0.7875	0.784090909090909
2	0.2	10240	0.30288352440795924	0.8125	0.8114035087719298
2	0.2	8192	0.33015881117712054	0.825	0.8245614035087719
2	0.2	6553	0.4669090791286695	0.875	0.8793650793650795
2	0.2	5242	0.2787256140910056	0.8	0.7950974230043997
2	0.2	4193	0.4517610682442832	0.8625	0.8577694235588973
2	0.2	3354	0.496797870171519	0.8875	0.8906649616368285
2	0.2	2683	0.5148875579457028	0.8875	0.8915776241357637
2	0.2	2146	0.2900143708588469	0.8	0.8069053708439899
2	0.2	1716	0.6641015990193396	0.9375	0.93796992481203
2	0.2	1372	0.4998777831168896	0.8875	0.8896920175989942
2	0.2	1097	0.31963427917093024	0.8	0.8106060606060606
2	0.2	877	0.5334534472677155	0.9	0.8984962406015038
2	0.2	701	0.5303577691815439	0.9	0.899749373433584
2	0.2	560	0.45186610875068545	0.875	0.873015873015873
2	0.2	448	0.48056102565266884	0.8875	0.8887362637362637
2	0.2	358	0.4998777831168896	0.8875	0.8875
2	0.2	286	0.496797870171519	0.8875	0.8840351979886862
2	0.2	228	0.3394632972155078	0.8125	0.8176691729323309
2	0.2	182	0.3257791214957328	0.825	0.8222222222222223
2	0.2	145	0.3806739656793553	0.8375	0.8495720868992759
2	0.2	116	0.6787199056017291	0.9375	0.9392230576441103
2	0.2	92	0.261841055577175	0.7875	0.7916666666666667
2	0.2	73	0.5342588628972417	0.9	0.9013199245757385
2	0.2	58	0.524329669075542	0.9	0.892327530625403
2	0.2	46	0.3226044697882223	0.8125	0.8125
2	0.2	36	0.364332469382839	0.8375	0.8383364602876798
2	0.2	28	0.23201789353042418	0.775	0.7754846779237022
2	0.2	22	0.20014576688472918	0.7625	0.7572533849129593
2	0.2	17	0.1897120227918085	0.75	0.7504690431519699
2	0.2	13	0.15450442022488295	0.725	0.7260787992495309
2	0.2	10	0.10405905949604942	0.6875	0.6876172607879925
2	0.2	8	0.10190349812988897	0.7	0.6840026333113891
2	0.2	6	0.011310302366201055	0.5625	0.5625390869293309
2	0.2	4	0.04183669293610125	0.6125	0.6171679197994988
2	0.2	3	0.0070148622329076855	0.45	0.4509068167604753
2	0.2	2	0.18427624955790187	0.25	0.2550505050505051
2	0.2	1	0.05497125558304373	0.3625	0.3630393996247655
3	0.2	20000	0.2554503296814357	0.7875	0.7891414141414141
3	0.2	16000	0.41913852494121373	0.8625	0.861904761904762
3	0.2	12800	0.26227067324308173	0.7875	0.7901002506265664
3	0.2	10240	0.23375524285484262	0.775	0.7736085053158224
3	0.2	8192	0.4387945776550152	0.8625	0.8639774859287055
3	0.2	6553	0.18624348188673323	0.75	0.7467001885606537
3	0.2	5242	0.3037256807107116	0.8125	0.81265664160401
3	0.2	4193	0.496797870171519	0.8875	0.8840351979886862
3	0.2	3354	0.40697170363391216	0.8375	0.8492063492063492
3	0.2	2683	0.39167360662207334	0.85	0.851037083595223
3	0.2	2146	0.38662827891692675	0.8375	0.8431803896920176
3	0.2	1716	0.4930371919776068	0.8875	0.8871169480925578
3	0.2	1372	0.439163472609255	0.8625	0.866436203645506
3	0.2	1097	0.2554503296814357	0.7875	0.7864290181363353
3	0.2	877	0.4281762489954239	0.8625	0.863352095059412
3	0.2	701	0.42294208687150836	0.8625	0.8625
3	0.2	560	0.36393137263784286	0.8375	0.8375
3	0.2	448	0.38662827891692675	0.8375	0.8431803896920176
3	0.2	358	0.2761314764165686	0.8	0.7969830295411691
3	0.2	286	0.5821400570663748	0.9125	0.9148334380892521
3	0.2	228	0.510581668324012	0.875	0.8774233896185116
3	0.2	182	0.28387693381926465	0.8	0.802639849151477
3	0.2	145	0.3602894700825402	0.8375	0.8337523570081711
3	0.2	116	0.4899195495623596	0.8875	0.88510101010101
3	0.2	92	0.4930371919776068	0.8875	0.8878446115288221
3	0.2	73	0.5712213522906201	0.9125	0.9128787878787877
3	0.2	58	0.5303577691815439	0.9	0.899749373433584
3	0.2	46	0.3376155462133005	0.825	0.825
3	0.2	36	0.4548028338811052	0.875	0.8742928975487115
3	0.2	28	0.32766578096243365	0.825	0.8232323232323232
3	0.2	22	0.3561441782907713	0.8375	0.8345959595959596
3	0.2	17	0.30288352440795924	0.8125	0.8114035087719298
3	0.2	13	0.1878588296918995	0.75	0.7493734335839599
3	0.2	10	0.12581778997824863	0.7125	0.7039641943734015
3	0.2	8	0.15034933572353013	0.725	0.7230576441102756
3	0.2	6	0.06991970337286431	0.6625	0.6566666666666667
3	0.2	4	0.0004992538972037631	0.4875	0.4868667917448406
3	0.2	3	0.12965656662017633	0.6875	0.6979886863607793
3	0.2	2	0.0037711333922600173	0.55	0.5357833655705997
3	0.2	1	0.10276611638191434	0.6875	0.6791326209930861
4	0.2	20000	0.18525602869672814	0.75	0.7474747474747474
4	0.2	16000	0.3295033132501638	0.825	0.8221244500314266
4	0.2	12800	0.4201618534396312	0.8625	0.8645833333333334
4	0.2	10240	0.5470996464588718	0.9	0.9011882426516572
4	0.2	8192	0.4564729254640204	0.875	0.8724072910119421
4	0.2	6553	0.33261171512385895	0.825	0.8258145363408521
4	0.2	5242	0.4593720800421406	0.875	0.8755472170106315
4	0.2	4193	0.48068176316656047	0.875	0.8709273182957393
4	0.2	3354	0.3130469322430408	0.8125	0.8125
4	0.2	2683	0.6591367409540075	0.9375	0.9377820760799486
4	0.2	2146	0.439163472609255	0.8625	0.866436203645506
4	0.2	1716	0.30704555700788044	0.8125	0.8142677561282213
4	0.2	1372	0.4998777831168896	0.8875	0.8875
4	0.2	1097	0.3705035978674684	0.8375	0.8358348968105065
4	0.2	877	0.48816425202019004	0.8875	0.8841269841269841
4	0.2	701	0.27934353176798277	0.8	0.800751879699248
4	0.2	560	0.33261171512385895	0.825	0.8258145363408521
4	0.2	448	0.5334534472677155	0.9	0.9015151515151515
4	0.2	358	0.46780082258032823	0.875	0.8787878787878787
4	0.2	286	0.3977809336238852	0.85	0.8539682539682539
4	0.2	228	0.3883941684740785	0.85	0.8491514770584537
4	0.2	182	0.58155339354956	0.9125	0.9154040404040403
4	0.2	145	0.39778093362388534	0.85	0.8539682539682539
4	0.2	116	0.5715292500264955	0.9125	0.9166666666666666
4	0.2	92	0.5323193085556444	0.9	0.8975487115022
4	0.2	73	0.45186610875068545	0.875	0.873015873015873
4	0.2	58	0.5334534472677155	0.9	0.9015151515151515
4	0.2	46	0.39225958178080705	0.85	0.8508771929824562
4	0.2	36	0.25415260102369747	0.7875	0.7850877192982456
4	0.2	28	0.35777596254440036	0.8375	0.8371212121212122
4	0.2	22	0.5290360503292428	0.9	0.8952380952380953
4	0.2	17	0.28323851586444304	0.8	0.8
4	0.2	13	0.07542723931079434	0.6625	0.6596480201131364
4	0.2	10	0.02066037045791678	0.5625	0.5825274016763379
4	0.2	8	0.07542343834226575	0.65	0.6614583333333333
4	0.2	6	0.02193939158606136	0.5875	0.5856785490931832
4	0.2	4	0.15034933572353013	0.725	0.7247474747474748
4	0.2	3	0.06761584225619276	0.65	0.6516290726817042
4	0.2	2	0.029459630263142352	0.6	0.601010101010101
4	0.2	1	0.03248295258387281	0.6	0.6061381074168797
