fold	elimination	n features	NMI score	Accuracy score	ROC AUC score
2	0.2	12800	0.4848693004771838	0.875	0.8784461152882205
2	0.2	10240	0.4591921489796444	0.875	0.875
2	0.2	8192	0.6156884558735028	0.925	0.925
2	0.2	6553	0.5002167437869923	0.8875	0.8890977443609023
2	0.2	5242	0.6210598372241933	0.925	0.9260651629072681
2	0.2	4193	0.6036874800729906	0.9125	0.9154135338345866
2	0.2	3354	0.6013067211547741	0.925	0.92
2	0.2	2683	0.5644233782529099	0.9125	0.9114583333333333
2	0.2	2146	0.5730247272905592	0.9125	0.9125000000000001
2	0.2	1716	0.4354434035016501	0.8625	0.8694390715667311
2	0.2	1372	0.3614884986529633	0.8375	0.8433333333333334
2	0.2	1097	0.8025161301432112	0.9625	0.96875
2	0.2	877	0.5284028597077272	0.9	0.898989898989899
2	0.2	701	0.7196007266240205	0.9375	0.9468085106382979
2	0.2	560	0.6852399896825542	0.925	0.9285714285714286
2	0.2	448	0.4899195495623596	0.8875	0.8851010101010102
2	0.2	358	0.7720235845303738	0.9625	0.9630325814536341
2	0.2	286	0.4913117571219964	0.8875	0.8876262626262624
2	0.2	228	0.7716811979777762	0.9625	0.9632306725329981
2	0.2	182	0.6784881483825664	0.9375	0.9399748585795097
2	0.2	145	0.572125680191365	0.9125	0.9129478315524826
2	0.2	116	0.7198854706994476	0.95	0.946969696969697
2	0.2	92	0.7126501947181897	0.95	0.9497171590194847
2	0.2	73	0.5458460172303379	0.9	0.898686679174484
2	0.2	58	0.4281762489954239	0.8625	0.8640350877192984
2	0.2	46	0.09239324999644533	0.675	0.6766917293233082
2	0.2	36	0.04428548084927814	0.625	0.6215538847117794
2	0.2	28	0.0016210015970136917	0.525	0.5234521575984992
2	0.2	22	0.020348785010757566	0.575	0.5820238843494657
2	0.2	17	0.004092787528017949	0.5375	0.5375
2	0.2	13	0.08949119457206982	0.675	0.674185463659148
2	0.2	10	0.010187129411938448	0.5625	0.5593434343434343
2	0.2	8	0.017380062830406755	0.575	0.5766103814884302
2	0.2	6	0.028906733344599617	0.5875	0.5991048593350383
2	0.2	4	0.036749042026493345	0.6125	0.6106941838649155
2	0.2	3	0.11532165138623941	0.6875	0.6979368149580916
2	0.2	2	0.0006030564972216659	0.5125	0.5144110275689223
2	0.2	1	0.00036817948560022615	0.5	0.5111111111111112
3	0.2	20000	0.3319932247621786	0.825	0.8258956631049654
3	0.2	16000	0.34802623804866367	0.825	0.8308080808080808
3	0.2	12800	0.4281762489954239	0.8625	0.8640350877192984
3	0.2	10240	0.4981732642137937	0.8875	0.8904761904761904
3	0.2	8192	0.7720235845303738	0.9625	0.9621638524077548
3	0.2	6553	0.45482292994222806	0.875	0.8759590792838874
3	0.2	5242	0.7196007266240205	0.9375	0.9342105263157895
3	0.2	4193	0.600893536269599	0.9125	0.9091478696741854
3	0.2	3354	0.3899642266684375	0.85	0.849906191369606
3	0.2	2683	0.572125680191365	0.9125	0.9116541353383459
3	0.2	2146	0.45359634097470763	0.8625	0.8602251407129455
3	0.2	1716	0.6763812340687466	0.9375	0.9418158567774937
3	0.2	1372	0.6606473753497333	0.9375	0.9379795396419437
3	0.2	1097	0.9153599392018044	0.9875	0.988095238095238
